,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,GQ,,,,,,,,,,,,,,,,,,,,,
site_name,Goodrich Quartzite,,,,,,,,,,,,,,,,,,,,,
site_lat,46.435,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-87.589,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
.1a,sun compass orientation,0,81,75.0,353,24.0,yes,148.0,-4.0,2023.0,7.0,25.0,10.0,12.0,13.0,nan,68.8,[355.2144781840089; 71.98476514579836; 55091.06119263279],-4.785521815991103,-12.200000000000003,68.8,348.2
.2a,sun compass orientation,0,214,15.0,353,24.0,yes,282.0,-4.0,2023.0,7.0,25.0,10.0,41.0,12.0,nan,209.1,[355.21447788813606; 71.98476060138509; 55091.05588141861],-4.785522111863941,-4.900000000000006,209.1,348.2
.3a,sun compass orientation,0,6,18.0,353,24.0,yes,68.0,-4.0,2023.0,7.0,25.0,10.0,29.0,13.0,nan,352.4,[355.21447801056615; 71.98476248183209; 55091.05807916238],-4.785521989433846,-13.600000000000023,352.4,348.2
.4a,sun compass orientation,0,11,97.0,353,24.0,yes,70.0,-4.0,2023.0,7.0,25.0,10.0,48.0,12.0,nan,358.7,[355.2144778167185; 71.98475950445759; 55091.05459940144],-4.7855221832815005,-12.300000000000011,358.7,348.2
.5a,sun compass orientation,0,28,76.0,353,24.0,yes,88.0,-4.0,2023.0,7.0,25.0,10.0,55.0,15.0,nan,18.3,[355.21447774530094; 71.98475840753005; 55091.053317384314],-4.78552225469906,-9.7,18.3,348.2
.6a,sun compass orientation,0,32,94.0,353,24.0,yes,79.0,-4.0,2023.0,7.0,25.0,11.0,2.0,18.0,nan,11.0,[355.2144776738834; 71.98475731060246; 55091.05203536716],-4.78552232611662,-21.0,11.0,348.2
.7a,sun compass orientation,0,76,84.0,353,24.0,yes,123.0,-4.0,2023.0,7.0,25.0,11.0,10.0,9.0,nan,57.0,[355.21447759226334; 71.98475605697088; 55091.05057020477],-4.785522407736664,-19.0,57.0,348.2
.8a,sun compass orientation,0,68,83.0,353,24.0,yes,118.0,-4.0,2023.0,7.0,25.0,11.0,23.0,15.0,nan,55.4,[355.21447745963076; 71.98475401981945; 55091.04818931592],-4.785522540369243,-12.600000000000001,55.4,348.2
.9a,sun compass orientation,0,104,82.0,353,24.0,yes,155.0,-4.0,2023.0,7.0,25.0,11.0,30.0,15.0,nan,94.4,[355.21447738821325; 71.98475292289166; 55091.046907298856],-4.785522611786746,-9.599999999999994,94.4,348.2
.10a,mag compass orientation (IGRF corrected),0,91,95.0,353,24.0,yes,nan,-4.0,2023.0,7.0,25.0,12.0,12.0,20.0,nan,nan,[355.2144769597082; 71.98474634132386; 55091.03921519699],-4.785523040291821,insufficient data,86.2,348.2
.11a,sun compass orientation,0,98,103.0,353,24.0,yes,130.0,-4.0,2023.0,7.0,25.0,12.0,21.0,11.0,nan,85.8,[355.21447686788565; 71.98474493098765; 55091.03756688955],-4.785523132114349,-12.200000000000003,85.8,348.2
.12a,sun compass orientation,0,66,67.0,353,24.0,yes,87.0,-4.0,2023.0,7.0,25.0,12.0,49.0,22.0,nan,54.0,[355.21447658221575; 71.98474054327447; 55091.03243882215],-4.785523417784248,-12.0,54.0,348.2
.14a,mag compass orientation (IGRF corrected),0,83,76.0,353,24.0,yes,nan,-4.0,2023.0,7.0,25.0,12.0,35.0,16.0,nan,nan,[355.2144767250507; 71.98474273713119; 55091.0350028558],-4.785523274949298,insufficient data,78.2,348.2
.15a,mag compass orientation (IGRF corrected),0,24,69.0,353,24.0,yes,nan,-4.0,2023.0,7.0,25.0,1.0,1.0,16.0,nan,nan,[355.2144838056088; 71.98485148948457; 55091.16210576848],-4.785516194391221,insufficient data,19.2,348.2
.16a,mag compass orientation (IGRF corrected),0,104,74.0,353,24.0,yes,nan,-4.0,2023.0,7.0,25.0,1.0,1.0,11.0,nan,nan,[355.2144838056088; 71.98485148948457; 55091.16210576848],-4.785516194391221,insufficient data,99.2,348.2
.17a,mag compass orientation (IGRF corrected),0,79,56.0,353,24.0,yes,nan,-4.0,2023.0,7.0,25.0,1.0,1.0,24.0,nan,nan,[355.2144838056088; 71.98485148948457; 55091.16210576848],-4.785516194391221,insufficient data,74.2,348.2
.18a,mag compass orientation (IGRF corrected),0,87,68.0,353,24.0,yes,nan,-4.0,2023.0,7.0,25.0,1.0,1.0,9.0,nan,nan,[355.2144838056088; 71.98485148948457; 55091.16210576848],-4.785516194391221,insufficient data,82.2,348.2
.19a,sun compass orientation,0,83,80.0,353,24.0,yes,88.0,-4.0,2023.0,7.0,25.0,13.0,21.0,21.0,nan,69.7,[355.2144762557359; 71.9847355287442; 55091.0265781741],-4.785523744264083,-13.299999999999997,69.7,348.2
.20a,mag compass orientation (IGRF corrected),0,98,81.0,353,24.0,yes,nan,-4.0,2023.0,7.0,25.0,1.0,1.0,8.0,nan,nan,[355.2144838056088; 71.98485148948457; 55091.16210576848],-4.785516194391221,insufficient data,93.2,348.2
.21a,mag compass orientation (IGRF corrected),0,125,54.0,353,24.0,yes,nan,-4.0,2023.0,7.0,25.0,1.0,1.0,9.0,nan,nan,[355.2144838056088; 71.98485148948457; 55091.16210576848],-4.785516194391221,insufficient data,120.2,348.2
.23a,sun compass orientation,0,71,73.0,353,24.0,yes,85.0,-4.0,2023.0,7.0,25.0,13.0,43.0,22.0,nan,77.8,[355.21447603128115; 71.98473208125401; 55091.02254897878],-4.785523968718849,6.799999999999997,77.8,348.2
.24a,sun compass orientation,0,4,4.0,353,24.0,yes,54.0,-4.0,2023.0,7.0,25.0,13.0,52.0,7.0,nan,51.4,[355.21447593945874; 71.98473067091692; 55091.02090067166],-4.785524060541263,47.4,51.4,348.2
.25a,sun compass orientation,0,82,72.0,353,24.0,yes,67.0,-4.0,2023.0,7.0,25.0,13.0,53.0,18.0,nan,65.0,[355.21447592925625; 71.98473051421281; 55091.02071752644],-4.785524070743747,-17.0,65.0,348.2
.26a,mag compass orientation (IGRF corrected),0,18,61.0,353,24.0,yes,nan,-4.0,2023.0,7.0,25.0,1.0,1.0,7.0,nan,nan,[355.2144838056088; 71.98485148948457; 55091.16210576848],-4.785516194391221,insufficient data,13.2,348.2
.27a,sun compass orientation,0,80,79.0,353,24.0,yes,62.0,-4.0,2023.0,7.0,25.0,14.0,7.0,8.0,nan,67.2,[355.2144757864214; 71.984728320355; 55091.018153493256],-4.785524213578583,-12.799999999999997,67.2,348.2
.28a,mag compass orientation (IGRF corrected),0,174,33.0,353,24.0,yes,nan,-4.0,2023.0,7.0,25.0,14.0,15.0,10.0,nan,nan,[355.2144757048015; 71.98472706672186; 55091.016688331445],-4.785524295198513,insufficient data,169.2,348.2
.29a,mag compass orientation (IGRF corrected),0,39,23.0,353,24.0,yes,nan,-4.0,2023.0,7.0,25.0,1.0,1.0,15.0,nan,nan,[355.2144838056088; 71.98485148948457; 55091.16210576848],-4.785516194391221,insufficient data,34.2,348.2
.30a,sun compass orientation,0,84,69.0,353,24.0,yes,47.0,-4.0,2023.0,7.0,25.0,14.0,27.0,18.0,nan,62.4,[355.2144755823717; 71.98472518627203; 55091.0144905888],-4.785524417628324,-21.6,62.4,348.2
.31a,sun compass orientation,0,89,52.0,353,24.0,yes,55.0,-4.0,2023.0,7.0,25.0,14.0,30.0,19.0,nan,71.9,[355.2144755517642; 71.98472471615958; 55091.01394115314],-4.785524448235776,-17.099999999999994,71.9,348.2
